floor, ceiling;一
dollar sign;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/dollarsign.png}}, {{img:https://storage.googleapis.com/annielearn-60998.appspot.com/dollarsign%20alt.png}}
snare;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/snare.png}}
slingshot;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/slingshot.png}}
old man;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/old%20man.png}}
puppet;者
scissors;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/scissors.png}}
maestro;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/maestro.png}}
wooden leg;足
jawbone;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/jawbone.png}}
pinnacle;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/pinnacle.png}}
hole;穴
paper punch;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/miss%20universe%3B%20paper%20punch.png}}
cocoon;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cocoon.png}}
abacus;幾
yarn;系
stamp;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/stamp.png}}
chop-seal;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/chop-seal.png}}
fingerprint;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/fingerprint.png}}
mailbox;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mailbox.png}}
receipt;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/receipt.png}}
staples;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/staples.png}}
whiskey bottle;酉
table;豆
drum;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/drum.png}}
silver;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/silver.png}}
halo;良
eating, food;食
waitress;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/waitress.png}}
water lily;平
sheaf;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sheaf.png}}
earthworm;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/earthworm.png}}
spicy;辛
red pepper;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/red%20pepper.png}}
ketchup;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/ketchup.png}}
cornucopia;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cornucopia.png}}
rice seedling;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/rice%20seedling.png}}
acorn;亥
resin;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/resin.png}}
celery;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/celery.png}}
grass skirt;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/grass%20skirt.png}}
grow up;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/grow.png}}
bushes;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/bushes.png}}
cell, grow up;生
Christmas tree;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/christmas%20tree.png}}
bonsai;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/bonsai.png}}
cornstalk;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cornstalk.png}}
cabbage;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cabbage.png}}
scarecrow;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/scarecrow.png}}
silage;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/silage.png}}
clock;今
west;西
old west;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/old%20west.png}}
gates;門
jail cell;非
key;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/key.png}}
guillotine;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/guilotine.png}}
locket;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/locket.png}}
clothesline;干
potato;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/potato.png}}
scale;余
awl;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/awl.png}}
sickness;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sickness.png}}
box;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/box.png}}
teepee;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/teepee.png}}
pup tent;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/pop%20tent.png}}
shape;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/shape.png}}
plaid;文
fenceposts;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/fenceposts.png}}
sparkler;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sparkler.png}}
red;赤
apple;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/apple.png}}
mosaic;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mosaic.png}}
wicker basket;甘
bushel basket;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/bushel%20basket.png}}
purse;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/purse.png}}
shelf;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/shelf.png}}
row;並
upside down in a row;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/row.png}}
together, strung together, bushel basket;共
angles;角
funnel;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/funnel.png}}
scrapbook;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/scrapbook.png}}
calling card;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/calling%20card.png}}
